id,filename,md5,size,state,linker,sample_id,knn_clust
0c1ecdba-c8be-4637-8bf2-1815bba47db7,TCGA-BQ-7060-01A-01-TS1.d7281fc8-46e1-49ab-8801-ba015bb4e43c.svs,78cdcb1b92900b6431ac9e8426fe0138,411685311,released,TCGA-BQ-7060-01A,TCGA-BQ-7060-01A-11D-1961-08,cluster 10
41382519-975d-4d46-b346-29e60f884154,TCGA-DD-AACA-01A-01-TS1.73E04956-B7DD-450C-A5CF-1E8C7CCB9D4B.svs,66f4acea1a7f734fb73cca329ee906e7,290728591,released,TCGA-DD-AACA-01A,TCGA-DD-AACA-01A-11D-A40R-10,cluster 10
4f7967d6-502e-483d-9051-69cbaff6439d,TCGA-64-1677-01A-01-TS1.64b2b82e-e4be-4399-bcc6-c32bf9089531.svs,d1b00830f66bc48b327d7fe41e036f40,106502379,released,TCGA-64-1677-01A,TCGA-64-1677-01A-01W-0928-08,cluster 10
94f292cd-86be-458e-83b9-ce19a32613b1,TCGA-29-1762-01A-01-BS1.16561800-adee-4503-aea0-31320f85cc44.svs,bff3090e9fc7a2b7e84c602edcc4f043,250771783,released,TCGA-29-1762-01A,TCGA-29-1762-01A-01W-0633-09,cluster 10
03d4b0b5-df4e-4139-92ea-630a7d741270,TCGA-61-1899-01A-01-BS1.e4e00076-dee1-41e4-a355-d905b923aff7.svs,4a7bb75df8201c59e8777f8c6d2e7c49,202207165,released,TCGA-61-1899-01A,TCGA-61-1899-01A-01W-0639-09,cluster 10
f144f4be-96d5-4680-b0df-97753201ea59,TCGA-E9-A1N5-01A-01-TSA.7b19a9b7-d896-4277-b8cc-bde9b8aefc9d.svs,210fea265a8e8cdc9fe9385b90d9f743,308286163,released,TCGA-E9-A1N5-01A,TCGA-E9-A1N5-01A-11D-A14G-09,cluster 10
d90c82ce-48e1-44c8-928b-0c6cdd7c0dd6,TCGA-55-1594-01A-01-BS1.c28630c1-e648-465f-ab4d-8676fe5f8ac6.svs,74027e0c82ce02c3a38465481ef7f4a4,283039907,released,TCGA-55-1594-01A,TCGA-55-1594-01A-01D-1040-01,cluster 10
6aad28f6-66f8-455c-b1ee-8737dd2ff14a,TCGA-B5-A0JN-01A-01-TS1.1ada5fe5-accb-4872-a5b9-19545a359e21.svs,b12c3a44057520c29041505deb9dec4d,557544615,released,TCGA-B5-A0JN-01A,TCGA-B5-A0JN-01A-11D-A10B-09,cluster 10
fc1f7125-c4f5-44ae-ad1c-5dbbdffc805a,TCGA-AJ-A3IA-01A-01-TS1.58B1E9F4-4CCF-4590-A481-ECEEFD0541B3.svs,c384dea6bb86ff4f41b2f5cd11825d61,89275514,released,TCGA-AJ-A3IA-01A,TCGA-AJ-A3IA-01A-11D-A20S-09,cluster 10
dcf91ef4-5ed1-470e-bf4a-c0a5e37f322a,TCGA-BQ-5881-01A-01-BS1.bc7a5035-47bc-48d6-97d4-402b73e0cbff.svs,29154c7f20bfcbfed0e576ae50112a78,247144915,released,TCGA-BQ-5881-01A,TCGA-BQ-5881-01A-11D-1589-08,cluster 10
38f05f6a-e865-49f7-9952-77b01cf937ba,TCGA-BR-7197-01A-01-TS1.0c210462-58f4-493d-86f8-265dff9fc12d.svs,c3b8703b7efbe0dc49ed2e0a0febe17e,612250567,released,TCGA-BR-7197-01A,TCGA-BR-7197-01A-11D-2201-08,cluster 10
88d57622-e72b-4d7a-af4e-1b0da2f3ae78,TCGA-PG-A915-01A-01-TSA.A1661CC6-B413-4413-BF28-6D7409F6B0E3.svs,d6cf828f13cc4fd133ae9db16f207738,217429597,released,TCGA-PG-A915-01A,TCGA-PG-A915-01A-11D-A37N-09,cluster 10
1a780fca-6d27-4f54-b706-21e278bb819f,TCGA-78-7145-01A-01-BS1.de42c8f6-2871-4fc8-8697-5ed488970dfb.svs,699cbd21c182ddb8d4290798b23b5d3c,85878923,released,TCGA-78-7145-01A,TCGA-78-7145-01A-11D-2036-08,cluster 10
c91ad03a-1ee3-4f40-b1e1-50c0a819fc98,TCGA-CX-7082-01A-01-TS1.452c303a-4ebd-455f-b9af-61d79b5f174b.svs,1617851a73af34e514ea278b8072e3eb,23584469,released,TCGA-CX-7082-01A,TCGA-CX-7082-01A-11D-2012-08,cluster 10
6e3fa22b-f8a1-4c09-92e2-9db79ee3ab92,TCGA-A2-A0CR-01A-01-TSA.192598C2-7093-4171-B779-6EDE8AD7998B.svs,b82339111eac1c0bbc2f85d6946e599f,277978965,released,TCGA-A2-A0CR-01A,TCGA-A2-A0CR-01A-11D-A228-09,cluster 10
fb00b960-82bd-4540-9a8a-2384b6c6fefb,TCGA-A5-A2K4-01A-01-TSA.09EEB44B-5743-47C4-9453-D4635B2B663A.svs,938279a90bd4cdf6ecbce9f59f4e1726,187336825,released,TCGA-A5-A2K4-01A,TCGA-A5-A2K4-01A-11D-A18P-09,cluster 10
cc9a43e1-3557-45ba-b6bf-5f984285c10a,TCGA-BR-7901-01A-01-TS1.b2e71628-c708-4729-a4b3-0721f3c3410f.svs,e84bfb30b9454597d5a3cc9e596df8a3,1814342481,released,TCGA-BR-7901-01A,TCGA-BR-7901-01A-11D-2201-08,cluster 10
af0a95d2-9467-42e0-9702-45e0df0c086e,TCGA-AR-A1AS-01A-01-TSA.235f24b3-d72a-419e-8f5c-ffc808dc06be.svs,f6e61b740d4220a125d00a272501a3de,255252995,released,TCGA-AR-A1AS-01A,TCGA-AR-A1AS-01A-11D-A12Q-09,cluster 10
b5b9cd29-b041-4a21-ac78-65b0191f9ef4,TCGA-06-0210-01B-01-TS1.17ffe650-96b8-4c0e-a739-5ebd9076aa4e.svs,c3625f1900f0acfb20f2e36936bbe32c,95281983,released,TCGA-06-0210-01B,TCGA-06-0210-01B-01D-1491-08,cluster 10
7d337d7a-273c-4579-89ef-7b0476cde8ad,TCGA-E9-A226-01A-02-TSB.794150b5-08d4-4a83-82e4-6c8a812bd236.svs,5d4e8cdc401c0eaa0e0404a45477335a,134589195,released,TCGA-E9-A226-01A,TCGA-E9-A226-01A-21D-A159-09,cluster 10
ed9882ae-1004-4057-8126-48131da7ba6a,TCGA-VS-A9UT-01A-01-TS1.BB64B2D0-4D40-4ABA-A0A3-5FDA7A19D6CA.svs,9759d96278e24814039611d13c11670a,161772873,released,TCGA-VS-A9UT-01A,TCGA-VS-A9UT-01A-11D-A42O-09,cluster 10
acc0338c-96da-42fd-b70d-335fe22263f5,TCGA-06-5417-01A-01-TS1.a84b8f46-a57d-469d-a65e-4aa5f45da5f3.svs,a42997352fd4619e5d912698ce777cd7,11272757,released,TCGA-06-5417-01A,TCGA-06-5417-01A-01D-1486-08,cluster 10
dded211c-11a5-49cb-ae1d-04e301002492,TCGA-D5-6529-01A-01-BS1.55012f3b-add1-4b80-9a4c-955721186b6b.svs,feb00345e2f567454da8f0ddc2a70f17,135298379,released,TCGA-D5-6529-01A,TCGA-D5-6529-01A-11D-1771-10,cluster 10
14d1667e-8632-45b3-b9e0-c6cab2b701d9,TCGA-BH-A202-01A-01-TSA.c8671f7f-1c8e-46f2-bb75-89786eda4c8e.svs,13e376a3ed82c640f7dd1f6df5720db6,318911871,released,TCGA-BH-A202-01A,TCGA-BH-A202-01A-11D-A14K-09,cluster 10
f71ba53d-46c5-41aa-8825-aea72c1172f6,TCGA-OL-A5D6-01A-02-TSB.9E12E9C6-91FD-4CED-B469-37D7A88026D1.svs,67068a946828b9f4f8c32c884ee2f478,263188273,released,TCGA-OL-A5D6-01A,TCGA-OL-A5D6-01A-21D-A27P-09,cluster 10
9a6a8f7f-b90a-4fe3-bdf7-0205e76a2435,TCGA-DK-A6B2-01A-01-TSA.FFC2B0B8-2166-4ABA-A57A-A63ACFF7B693.svs,2d1d0019cb6039bc1257a47fcbc207ac,236824951,released,TCGA-DK-A6B2-01A,TCGA-DK-A6B2-01A-11D-A30E-08,cluster 10
72482bb5-f36d-4840-be58-be608d3dc543,TCGA-BT-A20O-01A-02-TSB.0fdbe64a-2e3e-42ed-868e-39660ee58b2b.svs,a1fa11b61e67ece663ba36013e246d1c,227807291,released,TCGA-BT-A20O-01A,TCGA-BT-A20O-01A-21D-A14W-08,cluster 10
4cfd4f4b-45e9-48eb-b124-4ddd3fd62117,TCGA-VQ-A92D-01A-01-TS1.CAE04F9B-7259-4FBC-82BF-704B9F7A5A47.svs,154fc79d58b2a162fd3bbfae4ed73dc7,272720787,released,TCGA-VQ-A92D-01A,TCGA-VQ-A92D-01A-11D-A410-08,cluster 10
75aecd18-aed6-4553-a12a-52e6c504678d,TCGA-EO-A2CH-01A-01-TSA.83DA9BFC-01D3-4207-B89C-8D3D633B4A49.svs,957c7689b067cb64b8785d5d3a998a46,188834913,released,TCGA-EO-A2CH-01A,TCGA-EO-A2CH-01A-11D-A17W-09,cluster 10
4be14333-2c1e-474e-8874-6559910d1849,TCGA-FI-A2EU-01A-01-TSA.3c2579f4-c41f-455b-9347-695267902624.svs,535ba9b706d98a14790594d93b697af2,197979901,released,TCGA-FI-A2EU-01A,TCGA-FI-A2EU-01A-11D-A17D-09,cluster 10
8d324a97-e05e-4b28-be33-74d99a700ef2,TCGA-XF-AAMF-01A-02-TSB.00EC5690-F768-40F0-9BE9-A18EACCA70B5.svs,4f2637fd3f9dced4ea03afa3fb06af9e,368697841,released,TCGA-XF-AAMF-01A,TCGA-XF-AAMF-01A-21D-A42E-08,cluster 10
ae63377a-4c1a-4abd-943e-74246cabc4f3,TCGA-AR-A1AW-01A-02-TSB.d237252f-1ece-4bc3-b84c-d7de505c0a56.svs,1533ad27a80d4763d05342b99e309811,245804677,released,TCGA-AR-A1AW-01A,TCGA-AR-A1AW-01A-21D-A12Q-09,cluster 10
ba7d85bc-fe21-477d-a774-83f71fea8a3a,TCGA-G3-A25U-01A-01-TSA.8149A597-F319-4181-BBF3-81BF63EF6A61.svs,93710b10f0668547d3ba456bc5f3e680,360425027,released,TCGA-G3-A25U-01A,TCGA-G3-A25U-01A-11D-A16V-10,cluster 10
14702f69-7360-404b-b214-0f428d09f0f1,TCGA-ZF-AA5P-01A-01-TS1.59933EC2-E4FD-44DE-A82A-53A1781356A9.svs,6323b41eb9169ed12114033a9142f7fc,303443829,released,TCGA-ZF-AA5P-01A,TCGA-ZF-AA5P-01A-11D-A391-08,cluster 10
30879634-79c0-4c33-9e57-1bf6dd843c4c,TCGA-BH-A1FE-01A-01-TSA.d6713956-a320-419d-9e3d-ff9a8951a2d0.svs,0eb9f5482be1fa875146159864301f2c,143144373,released,TCGA-BH-A1FE-01A,TCGA-BH-A1FE-01A-11D-A13L-09,cluster 10
9f546279-50ea-47ba-ae11-c4e24153a953,TCGA-AG-4015-01A-01-TS1.1b2133cc-a4ef-4142-ade3-477c7f11f6c5.svs,77d15c9059cab087eb0927133696ca32,88409141,released,TCGA-AG-4015-01A,TCGA-AG-4015-01A-01D-1989-10,cluster 10
963212fd-6045-4d40-9ec8-34114e7bddfe,TCGA-EK-A2RD-01A-01-TS1.2B7F6E30-3A34-4193-AFFF-C62693FFBDCD.svs,28f2a370b234259d8e1513d4dab29cd0,199201437,released,TCGA-EK-A2RD-01A,TCGA-EK-A2RD-01A-12D-A20U-09,cluster 10
9858d3bc-c360-412b-864f-1e1d2412024a,TCGA-KP-A3W3-01A-01-TS1.D8EBC5EB-9F64-4146-BCE2-018338E5C447.svs,1d9a57a2029d278a7941a24aa87a6554,329147009,released,TCGA-KP-A3W3-01A,TCGA-KP-A3W3-01A-11D-A228-09,cluster 10
a6d0f49b-7189-4bd1-b101-1b80e0dfe65f,TCGA-AX-A1CC-01A-01-TS1.8c38ebd9-f0ef-425d-bd2a-e4c52604045f.svs,6d4a320ed8beff189187cc182d6ccdde,343907515,released,TCGA-AX-A1CC-01A,TCGA-AX-A1CC-01A-11D-A135-09,cluster 10
b59fc908-bc40-44f9-9328-1f1b4681373f,TCGA-UF-A7JO-01A-01-TS1.49CCC429-EB7A-42EC-A452-EFE27F80D8A1.svs,6d0ccaca135a6820f72a555de8e6b6d5,222213549,released,TCGA-UF-A7JO-01A,TCGA-UF-A7JO-01A-11D-A34J-08,cluster 10
38aafdc8-747d-4371-b9a9-c89c2e63eb62,TCGA-C8-A135-01A-01-TSA.c03f75de-8d25-4f74-8ca4-498db35d5df9.svs,f7e0b069136efecdb2896cbb2a0fd808,351560785,released,TCGA-C8-A135-01A,TCGA-C8-A135-01A-11D-A10Y-09,cluster 10
605f3625-d472-4311-aeff-27400edfd216,TCGA-FI-A2D2-01A-01-TS1.20aa144e-37b9-4758-86e8-5ea6e409ce1d.svs,07768267795e6b9fd2fc5c9b1353df2b,221971427,released,TCGA-FI-A2D2-01A,TCGA-FI-A2D2-01A-11D-A17D-09,cluster 10
01675369-2b85-44dd-aae5-8385b973b3d6,TCGA-Z4-A9VC-01A-01-TSA.4A3D99CA-93A3-4D94-891C-06E368530E45.svs,1a33291894fdf28a74815bf43da10864,343160047,released,TCGA-Z4-A9VC-01A,TCGA-Z4-A9VC-01A-11D-A37C-09,cluster 10
6887837d-7158-4442-bfd7-27bc262acd3a,TCGA-CV-A45O-01A-02-TS2.72CBED10-096D-4970-B146-BB5AD5FFCB53.svs,d2582a58a6bb191ad7cce6d872ccfffc,193006137,released,TCGA-CV-A45O-01A,TCGA-CV-A45O-01A-21D-A24D-08,cluster 10
50889df3-ce32-42ae-ac70-d7f69b52aff5,TCGA-P5-A5EU-01A-01-TSA.68B6098D-7964-4AA0-A7FF-A6C511BF31C5.svs,8a866ff3b912342eb629d013956358ca,368405323,released,TCGA-P5-A5EU-01A,TCGA-P5-A5EU-01A-11D-A27K-08,cluster 10
63297639-a894-4760-996a-19b4de3ef383,TCGA-GC-A3I6-01A-01-TSA.541C0DB2-76DE-4828-A4FE-DDD05E92E912.svs,87be0f56b1287f457346bdd871a2779e,182459522,released,TCGA-GC-A3I6-01A,TCGA-GC-A3I6-01A-11D-A20D-08,cluster 10
8d829cf9-eda8-40ce-aaa8-3153fc10335d,TCGA-12-0775-01A-01-TS1.9cd910de-5256-47d0-bb73-c0121540a654.svs,803939aee62f4bcfd553cb2970c76eb3,124945419,released,TCGA-12-0775-01A,TCGA-12-0775-01A-01W-0348-08,cluster 10
