sample_id	x_2d	y_2d	x_3d	y_3d	z_3d	clust	member_prob	knn_clust
TCGA-G3-A25S-01A-11D-A16V-10	-3.94844748680959	1.50930321606449	-1.94203836651635	-4.43694679304292	-1.70251757907061	0	0	12
TCGA-53-7813-01A-11D-2167-08	-4.76777445094333	0.604600993148838	-2.42533430123593	-4.92435166340994	-2.49570509231179	0	0	10
TCGA-12-1602-01A-01W-0643-08	9.16882764838585	-2.80784011833724	4.37630220920169	9.50044501317151	3.50761723126723	1	0.69456885743337	1
TCGA-DD-A119-01A-11D-A12Z-10	9.68319743567939	-2.42274478983204	3.79112260631058	9.6471548009472	3.73636537675075	1	0.789034730569314	1
TCGA-DD-A11D-01A-11D-A12Z-10	1.30540518434907	3.39311973272778	1.01690107926361	-0.616956078269533	0.689192076994233	0	0	4
TCGA-G9-6361-01A-21D-1961-08	-5.87971130661162	3.24502924799615	-3.47395870355817	-6.3139404780144	-0.708021580119119	11	0.383844334214331	11
TCGA-G9-6351-01A-21D-1961-08	9.76793526307439	-1.97870532890053	3.69320060887733	9.19250702009264	3.73353740985792	1	0.780475408098381	1
TCGA-EJ-7125-01A-11D-1961-08	8.82092182584942	-2.6831429431964	4.28831387156308	9.44463143792676	3.01969489472273	1	0.613207586963739	1
TCGA-EJ-7793-01A-31D-2260-08	8.8274917483209	-4.09640115376216	4.3579871516749	10.7221977015837	3.37112153252728	1	0.750103615800427	1
TCGA-EL-A3T7-01A-11D-A22D-08	10.087706197609	-2.27078097298811	3.55239449718846	9.55387457652936	3.93831075536094	1	0.793614214278009	1
TCGA-EJ-5511-01A-01D-1576-08	9.75843458211282	-4.04394760890533	4.26810229128518	10.5990912429437	4.27652027631625	1	0.681731416020645	1
TCGA-78-7163-01A-12D-2063-08	9.68017477589379	-2.09364230270761	3.67977033972811	9.40204634580001	3.6609954054796	1	0.780457098225934	1
TCGA-G9-6362-01A-11D-1786-08	9.01461917346251	-4.70148282002132	4.66227449601974	11.1743183246417	3.6387391285076	1	0.79223591778168	1
TCGA-EJ-5527-01A-01D-1576-08	9.07990206699779	-5.12372045188533	4.31325092317928	11.5770249815346	4.04212756432552	1	0.850581508684594	1
TCGA-EM-A22K-01A-11D-A17V-08	-6.15317255715362	3.42335831276834	-3.72131084455532	-6.40978023850939	-0.811006975451452	11	0.44068702277225	11
TCGA-G9-6378-01A-11D-1786-08	7.87897428302604	-1.39517535497048	3.6979212282627	7.58750529887637	2.76531981330469	1	0.186268945733375	1
TCGA-19-5960-01A-11D-1696-08	9.40583975944479	-1.92186494626032	3.38545085631904	9.27844334520909	3.61734768199162	1	0.755820209963246	1
TCGA-CC-A1HT-01A-11D-A12Z-10	-6.40437055362938	1.27879111874036	-4.01555108403384	-4.57949025681056	-1.59157941151835	10	0.253750905878186	10
TCGA-78-7633-01A-11D-2063-08	-7.15457943682365	-2.25041658206842	0.277842697118685	-6.01900357798757	-3.22427696429574	6	0.264381894921564	6
TCGA-26-5134-01A-01D-1486-08	10.1550902675273	-1.88974165742865	3.36513880100276	9.26140434458792	3.88347453680405	1	0.846011579376101	1
TCGA-19-2629-01A-01D-1495-08	-6.58406934384821	-1.23616173761592	-0.716987066423091	-6.30677438299148	-3.06634734069341	7	0.259916512905474	7
TCGA-EP-A2KA-01A-11D-A183-10	0.17407789057472	3.2192104495311	-0.818240072133128	-0.870126284886488	0.972535690236787	4	0.404719721020772	4
TCGA-HC-7818-01A-11D-2114-08	9.25184032307216	-5.44853478880307	4.283680185378	11.6875457825018	4.15027716318715	1	0.857298314476353	1
TCGA-HC-7077-01A-11D-1961-08	7.72732183704	-3.40896105320703	0.5681617880781	-1.53279109687961	0.105686124609716	0	0	4
TCGA-YF-AA3L-01A-11D-A38G-08	-4.61179566905048	-1.65049902172362	-1.37332650394034	-5.2565417602863604	-4.5063760067021	8	0.333605600368494	8
TCGA-G9-6343-01A-21D-1961-08	9.10737698733689	-5.29774608855885	3.97821067216673	11.620170711588	3.85396734243095	1	0.801304275648799	1
TCGA-YF-AA3M-01A-11D-A42E-08	-6.91035975176928	-1.80624759064977	-0.0866931958902115	-6.17435919157942	-3.194435591496	0	0	6
TCGA-IH-A3EA-01A-11D-A20D-08	-3.21157915093837	-3.55366875031261	-1.95722515016992	-5.1423451091434504	-6.74751813807232	8	0.541294960130534	8
TCGA-DE-A4M8-01A-21D-A257-08	9.44585963735087	-5.54676350785652	4.27610538284281	11.8333267755003	4.26514395929416	1	0.87913627862474	1
TCGA-CH-5752-01A-11D-1576-08	9.71106729679812	-2.27351032259322	3.72091712664671	9.61494059569899	4.03124937112347	1	0.772213283500412	1
TCGA-44-6146-01A-31D-A27T-08	-6.12297116462401	3.57455032364415	-3.64516672049508	-6.52176297141118	-0.673869297021454	11	0.540577765393939	11
TCGA-EJ-5506-01A-01D-1576-08	8.99502123923509	-5.44743140298691	4.30080787193536	11.7532597192984	3.72663250482291	1	0.795938890593107	1
TCGA-EM-A1YD-01A-11D-A14W-08	9.514840145696	-5.60821243641955	4.32352451040758	11.8919311358352	4.29073879331836	1	0.881934868189691	1
TCGA-CH-5792-01A-11D-1576-08	9.20936027849543	-5.03509205543954	4.35178239925447	11.2836782384765	4.11181482377064	1	0.824025448953972	1
TCGA-G9-6385-01A-11D-1786-08	9.42255352105196	-5.60920291758381	4.18721861134885	11.8120946882428	4.18695159234967	1	0.865141613077755	1
TCGA-EM-A1CU-01A-11D-A13W-08	9.90855990153435	-1.80142040152804	3.59770401144182	9.22729063650924	4.12472342228016	1	0.814312555407637	1
